date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-BL-NAS,Naseerabad,Balochistan,0.0,13.6,16.0,2.14
2015-01-02,PK-BL-NAS,Naseerabad,Balochistan,0.0,14.25,17.28,2.08
2015-01-03,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.74,17.8,2.06
2015-01-04,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.27,24.95,3.14
2015-01-05,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.94,40.56,2.56
2015-01-06,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.6,37.62,2.45
2015-01-07,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.71,19.53,2.88
2015-01-08,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.35,22.88,2.29
2015-01-09,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.13,28.51,2.58
2015-01-10,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.95,31.29,1.83
2015-01-11,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.93,34.36,2.08
2015-01-12,PK-BL-NAS,Naseerabad,Balochistan,0.0,18.18,32.09,2.3
2015-01-13,PK-BL-NAS,Naseerabad,Balochistan,0.01,18.17,29.0,4.42
2015-01-14,PK-BL-NAS,Naseerabad,Balochistan,0.0,14.75,28.02,3.09
2015-01-15,PK-BL-NAS,Naseerabad,Balochistan,0.0,14.42,32.17,1.67
2015-01-16,PK-BL-NAS,Naseerabad,Balochistan,0.0,13.68,23.82,1.85
2015-01-17,PK-BL-NAS,Naseerabad,Balochistan,0.0,14.46,20.65,1.63
2015-01-18,PK-BL-NAS,Naseerabad,Balochistan,0.0,14.95,22.15,2.21
2015-01-19,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.91,23.3,1.99
2015-01-20,PK-BL-NAS,Naseerabad,Balochistan,0.03,16.02,24.79,2.72
2015-01-21,PK-BL-NAS,Naseerabad,Balochistan,0.45,15.78,33.85,2.65
2015-01-22,PK-BL-NAS,Naseerabad,Balochistan,0.0,13.77,38.84,1.86
2015-01-23,PK-BL-NAS,Naseerabad,Balochistan,0.0,12.85,39.89,1.71
2015-01-24,PK-BL-NAS,Naseerabad,Balochistan,0.0,12.84,46.09,1.7
2015-01-25,PK-BL-NAS,Naseerabad,Balochistan,0.0,13.74,31.99,2.31
2015-01-26,PK-BL-NAS,Naseerabad,Balochistan,0.0,12.15,17.67,2.84
2015-01-27,PK-BL-NAS,Naseerabad,Balochistan,0.0,11.54,15.51,2.74
2015-01-28,PK-BL-NAS,Naseerabad,Balochistan,0.0,12.53,13.99,2.38
2015-01-29,PK-BL-NAS,Naseerabad,Balochistan,0.0,13.68,22.63,2.03
2015-01-30,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.04,18.61,2.72
2015-01-31,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.3,19.04,2.76
2015-02-01,PK-BL-NAS,Naseerabad,Balochistan,0.0,17.35,18.83,2.51
2015-02-02,PK-BL-NAS,Naseerabad,Balochistan,0.05,15.68,26.78,2.05
2015-02-03,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.79,38.09,2.32
2015-02-04,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.18,33.55,3.05
2015-02-05,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.89,38.24,2.05
2015-02-06,PK-BL-NAS,Naseerabad,Balochistan,1.04,16.33,48.89,3.29
2015-02-07,PK-BL-NAS,Naseerabad,Balochistan,0.09,18.11,48.23,1.63
2015-02-08,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.45,42.01,1.78
2015-02-09,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.46,37.64,2.18
2015-02-10,PK-BL-NAS,Naseerabad,Balochistan,0.0,18.49,33.78,1.76
2015-02-11,PK-BL-NAS,Naseerabad,Balochistan,0.0,19.45,31.7,1.58
2015-02-12,PK-BL-NAS,Naseerabad,Balochistan,0.0,21.19,27.92,2.31
2015-02-13,PK-BL-NAS,Naseerabad,Balochistan,0.0,22.47,25.66,1.92
2015-02-14,PK-BL-NAS,Naseerabad,Balochistan,0.0,24.7,23.36,2.34
2015-02-15,PK-BL-NAS,Naseerabad,Balochistan,0.0,24.27,24.78,2.87
2015-02-16,PK-BL-NAS,Naseerabad,Balochistan,0.0,24.67,26.23,2.28
2015-02-17,PK-BL-NAS,Naseerabad,Balochistan,0.0,22.65,33.33,2.73
2015-02-18,PK-BL-NAS,Naseerabad,Balochistan,0.0,22.81,31.99,2.26
2015-02-19,PK-BL-NAS,Naseerabad,Balochistan,0.01,23.27,26.31,2.9
2015-02-20,PK-BL-NAS,Naseerabad,Balochistan,0.18,23.58,30.96,3.66
2015-02-21,PK-BL-NAS,Naseerabad,Balochistan,0.0,22.43,43.01,2.49
2015-02-22,PK-BL-NAS,Naseerabad,Balochistan,0.0,22.76,42.69,2.26
2015-02-23,PK-BL-NAS,Naseerabad,Balochistan,0.07,22.64,38.11,3.71
2015-02-24,PK-BL-NAS,Naseerabad,Balochistan,0.03,20.54,24.08,5.2
2015-02-25,PK-BL-NAS,Naseerabad,Balochistan,0.01,15.05,20.94,5.81
2015-02-26,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.1,17.63,2.44
2015-02-27,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.33,19.49,2.06
2015-02-28,PK-BL-NAS,Naseerabad,Balochistan,0.17,17.42,28.83,2.86
2015-03-01,PK-BL-NAS,Naseerabad,Balochistan,2.76,16.48,43.3,2.93
2015-03-02,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.1,47.19,2.46
2015-03-03,PK-BL-NAS,Naseerabad,Balochistan,0.0,17.75,23.03,1.84
2015-03-04,PK-BL-NAS,Naseerabad,Balochistan,0.09,18.81,27.38,3.15
2015-03-05,PK-BL-NAS,Naseerabad,Balochistan,9.91,19.55,49.97,3.17
2015-03-06,PK-BL-NAS,Naseerabad,Balochistan,5.94,18.22,60.3,3.76
2015-03-07,PK-BL-NAS,Naseerabad,Balochistan,4.84,17.63,49.58,3.11
2015-03-08,PK-BL-NAS,Naseerabad,Balochistan,0.0,15.68,24.46,4.87
2015-03-09,PK-BL-NAS,Naseerabad,Balochistan,0.0,16.44,29.28,3.62
2015-03-10,PK-BL-NAS,Naseerabad,Balochistan,0.0,17.76,33.57,1.9
2015-03-11,PK-BL-NAS,Naseerabad,Balochistan,0.0,19.73,31.28,1.83
2015-03-12,PK-BL-NAS,Naseerabad,Balochistan,0.0,20.87,31.1,2.47
2015-03-13,PK-BL-NAS,Naseerabad,Balochistan,0.1,21.55,29.95,2.47
2015-03-14,PK-BL-NAS,Naseerabad,Balochistan,9.86,18.88,54.03,3.81
2015-03-15,PK-BL-NAS,Naseerabad,Balochistan,0.27,18.88,52.27,2.66
2015-03-16,PK-BL-NAS,Naseerabad,Balochistan,0.03,19.84,46.94,1.98
2015-03-17,PK-BL-NAS,Naseerabad,Balochistan,0.0,20.62,42.42,2.29
2015-03-18,PK-BL-NAS,Naseerabad,Balochistan,0.0,22.0,36.91,1.83
2015-03-19,PK-BL-NAS,Naseerabad,Balochistan,0.29,23.67,36.16,2.35
2015-03-20,PK-BL-NAS,Naseerabad,Balochistan,0.01,26.83,34.56,1.83
2015-03-21,PK-BL-NAS,Naseerabad,Balochistan,0.0,26.51,38.85,2.32
2015-03-22,PK-BL-NAS,Naseerabad,Balochistan,0.0,27.81,38.91,1.91
2015-03-23,PK-BL-NAS,Naseerabad,Balochistan,0.0,28.15,33.1,2.65
2015-03-24,PK-BL-NAS,Naseerabad,Balochistan,0.0,29.66,32.29,2.78
2015-03-25,PK-BL-NAS,Naseerabad,Balochistan,0.0,27.73,38.11,3.02
2015-03-26,PK-BL-NAS,Naseerabad,Balochistan,0.0,26.39,44.94,3.48
2015-03-27,PK-BL-NAS,Naseerabad,Balochistan,0.0,29.36,35.74,2.69
2015-03-28,PK-BL-NAS,Naseerabad,Balochistan,1.43,28.8,32.77,3.25
2015-03-29,PK-BL-NAS,Naseerabad,Balochistan,0.02,25.19,31.2,4.31
2015-03-30,PK-BL-NAS,Naseerabad,Balochistan,0.0,24.86,34.87,1.86
2015-03-31,PK-BL-NAS,Naseerabad,Balochistan,0.0,26.04,31.7,2.04
2015-04-01,PK-BL-NAS,Naseerabad,Balochistan,0.02,27.91,29.35,2.52
