date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-BL-QTA,Quetta,Balochistan,0.0,4.94,22.51,2.62
2015-01-02,PK-BL-QTA,Quetta,Balochistan,0.0,4.73,20.13,2.57
2015-01-03,PK-BL-QTA,Quetta,Balochistan,0.0,5.51,22.02,2.73
2015-01-04,PK-BL-QTA,Quetta,Balochistan,0.0,7.77,30.41,2.7
2015-01-05,PK-BL-QTA,Quetta,Balochistan,0.0,7.82,55.67,3.72
2015-01-06,PK-BL-QTA,Quetta,Balochistan,0.0,6.93,48.16,4.42
2015-01-07,PK-BL-QTA,Quetta,Balochistan,0.0,6.92,28.87,2.69
2015-01-08,PK-BL-QTA,Quetta,Balochistan,0.0,8.97,24.79,2.01
2015-01-09,PK-BL-QTA,Quetta,Balochistan,0.0,8.6,45.37,3.02
2015-01-10,PK-BL-QTA,Quetta,Balochistan,0.0,9.85,46.29,2.15
2015-01-11,PK-BL-QTA,Quetta,Balochistan,0.0,9.04,57.32,2.8
2015-01-12,PK-BL-QTA,Quetta,Balochistan,0.8,8.92,60.72,3.18
2015-01-13,PK-BL-QTA,Quetta,Balochistan,1.07,3.66,62.58,5.85
2015-01-14,PK-BL-QTA,Quetta,Balochistan,0.0,4.0,34.11,3.16
2015-01-15,PK-BL-QTA,Quetta,Balochistan,0.0,5.3,20.0,2.07
2015-01-16,PK-BL-QTA,Quetta,Balochistan,0.0,6.34,13.29,1.42
2015-01-17,PK-BL-QTA,Quetta,Balochistan,0.0,8.19,11.96,1.15
2015-01-18,PK-BL-QTA,Quetta,Balochistan,0.0,8.01,28.88,2.4
2015-01-19,PK-BL-QTA,Quetta,Balochistan,0.02,7.5,43.04,3.52
2015-01-20,PK-BL-QTA,Quetta,Balochistan,1.38,4.57,44.98,5.16
2015-01-21,PK-BL-QTA,Quetta,Balochistan,5.35,1.44,75.85,2.81
2015-01-22,PK-BL-QTA,Quetta,Balochistan,0.0,0.55,75.65,2.72
2015-01-23,PK-BL-QTA,Quetta,Balochistan,0.0,2.09,54.33,1.31
2015-01-24,PK-BL-QTA,Quetta,Balochistan,0.0,2.14,49.73,2.2
2015-01-25,PK-BL-QTA,Quetta,Balochistan,0.0,0.13,53.84,4.27
2015-01-26,PK-BL-QTA,Quetta,Balochistan,0.0,-1.41,41.2,4.15
2015-01-27,PK-BL-QTA,Quetta,Balochistan,0.0,-0.59,37.38,3.52
2015-01-28,PK-BL-QTA,Quetta,Balochistan,0.0,1.39,52.45,2.87
2015-01-29,PK-BL-QTA,Quetta,Balochistan,0.0,3.17,47.12,3.58
2015-01-30,PK-BL-QTA,Quetta,Balochistan,0.0,7.57,35.31,2.27
2015-01-31,PK-BL-QTA,Quetta,Balochistan,0.0,9.26,46.73,2.77
2015-02-01,PK-BL-QTA,Quetta,Balochistan,0.0,9.08,44.99,2.59
2015-02-02,PK-BL-QTA,Quetta,Balochistan,0.0,6.91,39.95,2.34
2015-02-03,PK-BL-QTA,Quetta,Balochistan,0.0,5.48,28.25,2.94
2015-02-04,PK-BL-QTA,Quetta,Balochistan,0.0,6.27,26.66,1.4
