date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-9.02,60.92,0.98
2015-01-02,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-8.99,45.52,1.4
2015-01-03,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-7.8,59.31,1.27
2015-01-04,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-10.18,66.67,1.29
2015-01-05,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.04,-8.91,84.23,1.41
2015-01-06,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.11,-6.73,67.25,0.98
2015-01-07,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.02,-7.88,28.96,1.52
2015-01-08,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-7.57,15.46,1.32
2015-01-09,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-7.26,22.63,1.15
2015-01-10,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-6.61,28.68,1.2
2015-01-11,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-5.6,28.25,1.25
2015-01-12,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.5,-6.22,63.85,1.0
2015-01-13,PK-GB-GIL,Gilgit,Gilgit-Baltistan,2.53,-6.73,87.18,0.98
2015-01-14,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.37,-6.27,63.47,0.87
2015-01-15,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-8.17,35.32,1.26
2015-01-16,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-9.28,25.91,1.49
2015-01-17,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-8.77,21.74,1.15
2015-01-18,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-7.43,24.39,1.04
2015-01-19,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-6.48,41.86,1.05
2015-01-20,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.03,-7.35,53.68,1.12
2015-01-21,PK-GB-GIL,Gilgit,Gilgit-Baltistan,2.97,-7.25,78.49,1.14
2015-01-22,PK-GB-GIL,Gilgit,Gilgit-Baltistan,1.44,-8.75,76.26,1.44
2015-01-23,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.42,-9.96,75.18,1.75
2015-01-24,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.38,-10.6,80.95,1.73
2015-01-25,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.26,-9.89,78.34,1.82
2015-01-26,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.38,-11.38,73.96,2.19
2015-01-27,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.26,-12.58,72.19,1.92
2015-01-28,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-12.87,64.26,1.23
2015-01-29,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.05,-11.75,67.71,1.36
2015-01-30,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.08,-11.74,73.45,0.98
2015-01-31,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.32,-9.47,80.54,1.44
2015-02-01,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.69,-8.25,84.71,2.24
2015-02-02,PK-GB-GIL,Gilgit,Gilgit-Baltistan,1.19,-9.07,84.04,1.41
2015-02-03,PK-GB-GIL,Gilgit,Gilgit-Baltistan,1.39,-8.74,81.07,1.83
2015-02-04,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.09,-10.56,65.62,1.35
2015-02-05,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-10.29,49.12,1.24
2015-02-06,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-8.3,38.0,1.2
2015-02-07,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.72,-7.99,54.01,1.2
2015-02-08,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.8,-8.12,71.58,1.48
2015-02-09,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.02,-9.23,56.73,0.9
2015-02-10,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-8.37,41.85,1.26
2015-02-11,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.0,-6.62,41.42,0.97
2015-02-12,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.01,-5.61,46.09,1.12
2015-02-13,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.25,-3.55,51.8,1.24
2015-02-14,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.15,-2.44,52.29,0.73
2015-02-15,PK-GB-GIL,Gilgit,Gilgit-Baltistan,1.11,-3.29,50.92,1.3
2015-02-16,PK-GB-GIL,Gilgit,Gilgit-Baltistan,3.08,-4.32,85.31,2.32
2015-02-17,PK-GB-GIL,Gilgit,Gilgit-Baltistan,1.07,-5.88,81.14,1.99
2015-02-18,PK-GB-GIL,Gilgit,Gilgit-Baltistan,2.1,-6.01,82.79,2.36
2015-02-19,PK-GB-GIL,Gilgit,Gilgit-Baltistan,3.17,-5.92,86.76,2.0
2015-02-20,PK-GB-GIL,Gilgit,Gilgit-Baltistan,1.11,-4.93,85.08,1.94
2015-02-21,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.19,-4.62,87.34,1.64
2015-02-22,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.11,-3.11,78.15,1.44
2015-02-23,PK-GB-GIL,Gilgit,Gilgit-Baltistan,1.56,-2.95,82.5,1.47
2015-02-24,PK-GB-GIL,Gilgit,Gilgit-Baltistan,8.06,-3.13,86.04,1.69
2015-02-25,PK-GB-GIL,Gilgit,Gilgit-Baltistan,5.7,-4.43,87.32,1.55
2015-02-26,PK-GB-GIL,Gilgit,Gilgit-Baltistan,0.3,-8.23,64.71,1.17
