date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-KP-PSH,Peshawar,KPK,0.0,12.35,31.07,2.16
2015-01-02,PK-KP-PSH,Peshawar,KPK,0.0,12.06,30.92,1.87
2015-01-03,PK-KP-PSH,Peshawar,KPK,0.0,11.46,35.12,0.95
2015-01-04,PK-KP-PSH,Peshawar,KPK,0.0,11.43,35.84,1.37
2015-01-05,PK-KP-PSH,Peshawar,KPK,0.0,10.08,48.0,1.94
2015-01-06,PK-KP-PSH,Peshawar,KPK,0.0,12.45,41.61,2.1
2015-01-07,PK-KP-PSH,Peshawar,KPK,0.0,13.17,25.29,2.47
2015-01-08,PK-KP-PSH,Peshawar,KPK,0.0,13.14,19.28,1.73
2015-01-09,PK-KP-PSH,Peshawar,KPK,0.0,12.13,19.36,1.36
2015-01-10,PK-KP-PSH,Peshawar,KPK,0.0,13.06,19.82,1.62
2015-01-11,PK-KP-PSH,Peshawar,KPK,0.0,15.07,21.61,1.07
2015-01-12,PK-KP-PSH,Peshawar,KPK,0.08,14.51,27.59,1.25
2015-01-13,PK-KP-PSH,Peshawar,KPK,11.22,9.82,80.85,2.22
2015-01-14,PK-KP-PSH,Peshawar,KPK,0.7,10.76,67.92,2.16
2015-01-15,PK-KP-PSH,Peshawar,KPK,0.0,11.14,49.25,1.51
2015-01-16,PK-KP-PSH,Peshawar,KPK,0.0,11.81,35.46,1.46
2015-01-17,PK-KP-PSH,Peshawar,KPK,0.0,12.13,32.38,1.55
2015-01-18,PK-KP-PSH,Peshawar,KPK,0.0,11.79,32.99,1.34
2015-01-19,PK-KP-PSH,Peshawar,KPK,0.0,12.29,34.51,1.09
2015-01-20,PK-KP-PSH,Peshawar,KPK,0.03,11.14,42.5,1.34
2015-01-21,PK-KP-PSH,Peshawar,KPK,10.46,7.92,71.28,1.8
2015-01-22,PK-KP-PSH,Peshawar,KPK,7.39,7.31,77.99,1.94
2015-01-23,PK-KP-PSH,Peshawar,KPK,1.26,8.85,67.37,1.31
2015-01-24,PK-KP-PSH,Peshawar,KPK,0.65,9.38,58.11,1.56
2015-01-25,PK-KP-PSH,Peshawar,KPK,0.13,9.56,54.93,2.25
2015-01-26,PK-KP-PSH,Peshawar,KPK,1.34,10.18,48.97,1.3
2015-01-27,PK-KP-PSH,Peshawar,KPK,1.22,8.92,50.03,1.37
2015-01-28,PK-KP-PSH,Peshawar,KPK,0.0,7.05,46.46,2.84
2015-01-29,PK-KP-PSH,Peshawar,KPK,0.0,9.73,39.16,1.45
2015-01-30,PK-KP-PSH,Peshawar,KPK,0.0,10.34,37.94,0.99
2015-01-31,PK-KP-PSH,Peshawar,KPK,0.16,11.75,43.81,1.42
2015-02-01,PK-KP-PSH,Peshawar,KPK,1.08,10.55,63.53,2.2
2015-02-02,PK-KP-PSH,Peshawar,KPK,8.05,7.76,81.74,2.01
2015-02-03,PK-KP-PSH,Peshawar,KPK,0.39,9.49,72.56,1.83
2015-02-04,PK-KP-PSH,Peshawar,KPK,0.0,10.36,62.82,2.11
2015-02-05,PK-KP-PSH,Peshawar,KPK,0.0,11.86,38.35,1.87
2015-02-06,PK-KP-PSH,Peshawar,KPK,0.0,11.94,38.35,1.41
2015-02-07,PK-KP-PSH,Peshawar,KPK,4.03,8.85,59.63,1.45
2015-02-08,PK-KP-PSH,Peshawar,KPK,0.13,10.74,58.69,1.8
2015-02-09,PK-KP-PSH,Peshawar,KPK,0.01,11.79,42.51,2.68
2015-02-10,PK-KP-PSH,Peshawar,KPK,0.0,13.55,38.55,2.25
2015-02-11,PK-KP-PSH,Peshawar,KPK,0.0,14.8,35.95,1.93
2015-02-12,PK-KP-PSH,Peshawar,KPK,0.0,15.67,39.65,1.67
2015-02-13,PK-KP-PSH,Peshawar,KPK,0.0,16.7,48.71,1.45
2015-02-14,PK-KP-PSH,Peshawar,KPK,0.0,18.45,43.54,1.51
2015-02-15,PK-KP-PSH,Peshawar,KPK,0.42,15.52,48.86,2.27
2015-02-16,PK-KP-PSH,Peshawar,KPK,8.05,12.4,78.68,2.81
2015-02-17,PK-KP-PSH,Peshawar,KPK,5.35,14.43,64.27,2.05
2015-02-18,PK-KP-PSH,Peshawar,KPK,3.85,15.15,64.17,1.45
2015-02-19,PK-KP-PSH,Peshawar,KPK,7.85,13.43,83.37,1.69
2015-02-20,PK-KP-PSH,Peshawar,KPK,2.29,14.31,75.3,1.38
2015-02-21,PK-KP-PSH,Peshawar,KPK,0.32,15.29,73.87,1.88
2015-02-22,PK-KP-PSH,Peshawar,KPK,0.0,18.3,56.2,2.0
2015-02-23,PK-KP-PSH,Peshawar,KPK,0.87,18.29,55.39,1.4
2015-02-24,PK-KP-PSH,Peshawar,KPK,16.29,14.34,76.74,2.76
2015-02-25,PK-KP-PSH,Peshawar,KPK,18.25,11.67,77.52,2.25
2015-02-26,PK-KP-PSH,Peshawar,KPK,2.62,10.32,69.13,2.17
2015-02-27,PK-KP-PSH,Peshawar,KPK,0.0,12.45,46.38,1.27
2015-02-28,PK-KP-PSH,Peshawar,KPK,0.0,13.0,47.5,1.66
2015-03-01,PK-KP-PSH,Peshawar,KPK,13.71,9.71,72.44,1.81
2015-03-02,PK-KP-PSH,Peshawar,KPK,27.66,9.78,84.58,2.21
2015-03-03,PK-KP-PSH,Peshawar,KPK,4.85,10.85,70.99,1.36
2015-03-04,PK-KP-PSH,Peshawar,KPK,1.88,10.73,65.94,1.84
2015-03-05,PK-KP-PSH,Peshawar,KPK,8.89,9.34,83.11,1.92
2015-03-06,PK-KP-PSH,Peshawar,KPK,0.34,11.57,72.92,1.63
2015-03-07,PK-KP-PSH,Peshawar,KPK,14.71,8.64,85.02,2.34
2015-03-08,PK-KP-PSH,Peshawar,KPK,2.29,9.44,73.09,2.47
2015-03-09,PK-KP-PSH,Peshawar,KPK,0.13,11.51,50.58,1.65
2015-03-10,PK-KP-PSH,Peshawar,KPK,0.0,13.52,51.21,2.33
2015-03-11,PK-KP-PSH,Peshawar,KPK,0.0,15.84,52.28,2.22
2015-03-12,PK-KP-PSH,Peshawar,KPK,0.0,16.83,45.95,2.01
2015-03-13,PK-KP-PSH,Peshawar,KPK,0.0,17.32,46.12,1.66
2015-03-14,PK-KP-PSH,Peshawar,KPK,0.02,17.72,50.93,1.72
2015-03-15,PK-KP-PSH,Peshawar,KPK,14.66,12.5,86.4,2.83
2015-03-16,PK-KP-PSH,Peshawar,KPK,16.34,14.1,81.23,2.41
2015-03-17,PK-KP-PSH,Peshawar,KPK,0.14,15.42,69.16,0.9
2015-03-18,PK-KP-PSH,Peshawar,KPK,0.0,16.58,53.01,1.64
2015-03-19,PK-KP-PSH,Peshawar,KPK,0.0,18.8,47.25,1.1
2015-03-20,PK-KP-PSH,Peshawar,KPK,0.0,20.04,52.93,1.31
2015-03-21,PK-KP-PSH,Peshawar,KPK,0.0,21.08,55.61,1.46
2015-03-22,PK-KP-PSH,Peshawar,KPK,0.0,22.48,53.37,2.36
2015-03-23,PK-KP-PSH,Peshawar,KPK,0.0,23.77,47.95,1.52
2015-03-24,PK-KP-PSH,Peshawar,KPK,8.42,22.88,64.22,1.99
2015-03-25,PK-KP-PSH,Peshawar,KPK,0.04,21.19,66.0,2.18
2015-03-26,PK-KP-PSH,Peshawar,KPK,0.0,22.63,47.75,1.52
2015-03-27,PK-KP-PSH,Peshawar,KPK,0.09,22.84,49.1,1.47
2015-03-28,PK-KP-PSH,Peshawar,KPK,5.7,19.64,73.52,2.62
2015-03-29,PK-KP-PSH,Peshawar,KPK,14.95,18.32,77.62,1.91
2015-03-30,PK-KP-PSH,Peshawar,KPK,0.86,19.44,64.82,1.44
2015-03-31,PK-KP-PSH,Peshawar,KPK,6.08,18.51,71.93,1.42
2015-04-01,PK-KP-PSH,Peshawar,KPK,24.58,16.75,86.74,3.36
2015-04-02,PK-KP-PSH,Peshawar,KPK,3.13,18.36,74.72,1.32
2015-04-03,PK-KP-PSH,Peshawar,KPK,23.01,18.64,69.86,1.35
2015-04-04,PK-KP-PSH,Peshawar,KPK,0.08,19.92,60.65,1.45
2015-04-05,PK-KP-PSH,Peshawar,KPK,0.02,19.88,58.66,1.04
2015-04-06,PK-KP-PSH,Peshawar,KPK,0.45,19.1,66.34,2.16
2015-04-07,PK-KP-PSH,Peshawar,KPK,1.68,17.44,77.94,1.65
2015-04-08,PK-KP-PSH,Peshawar,KPK,0.61,19.54,66.95,1.12
2015-04-09,PK-KP-PSH,Peshawar,KPK,0.0,21.71,58.33,1.32
2015-04-10,PK-KP-PSH,Peshawar,KPK,0.0,22.9,56.23,1.19
2015-04-11,PK-KP-PSH,Peshawar,KPK,0.0,22.77,60.53,1.53
2015-04-12,PK-KP-PSH,Peshawar,KPK,0.0,23.7,52.4,1.76
2015-04-13,PK-KP-PSH,Peshawar,KPK,0.0,24.45,51.88,1.65
2015-04-14,PK-KP-PSH,Peshawar,KPK,0.01,24.43,54.41,1.09
2015-04-15,PK-KP-PSH,Peshawar,KPK,12.55,23.26,69.52,1.62
2015-04-16,PK-KP-PSH,Peshawar,KPK,7.75,23.11,69.44,1.89
2015-04-17,PK-KP-PSH,Peshawar,KPK,0.02,23.95,59.44,1.34
2015-04-18,PK-KP-PSH,Peshawar,KPK,0.93,24.89,55.29,2.35
2015-04-19,PK-KP-PSH,Peshawar,KPK,14.8,23.47,67.0,2.16
2015-04-20,PK-KP-PSH,Peshawar,KPK,0.04,23.61,63.56,2.29
2015-04-21,PK-KP-PSH,Peshawar,KPK,0.0,24.78,44.39,2.44
2015-04-22,PK-KP-PSH,Peshawar,KPK,0.0,26.12,37.56,2.21
2015-04-23,PK-KP-PSH,Peshawar,KPK,0.0,26.61,38.43,2.03
2015-04-24,PK-KP-PSH,Peshawar,KPK,0.0,27.26,37.76,2.04
2015-04-25,PK-KP-PSH,Peshawar,KPK,0.0,27.65,38.44,1.51
2015-04-26,PK-KP-PSH,Peshawar,KPK,0.05,26.73,43.56,2.36
2015-04-27,PK-KP-PSH,Peshawar,KPK,15.27,25.85,53.22,1.66
2015-04-28,PK-KP-PSH,Peshawar,KPK,0.53,26.73,46.17,1.96
2015-04-29,PK-KP-PSH,Peshawar,KPK,1.04,26.7,45.48,1.58
2015-04-30,PK-KP-PSH,Peshawar,KPK,7.47,24.16,54.43,1.45
2015-05-01,PK-KP-PSH,Peshawar,KPK,0.01,24.97,46.5,1.86
2015-05-02,PK-KP-PSH,Peshawar,KPK,0.0,25.98,37.64,1.37
2015-05-03,PK-KP-PSH,Peshawar,KPK,0.0,26.18,37.31,2.07
2015-05-04,PK-KP-PSH,Peshawar,KPK,0.03,27.58,38.79,1.91
2015-05-05,PK-KP-PSH,Peshawar,KPK,1.66,28.61,43.76,1.9
