date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-PB-LHR,Lahore,Punjab,0.0,12.35,35.18,2.77
2015-01-02,PK-PB-LHR,Lahore,Punjab,0.0,13.94,36.47,2.2
2015-01-03,PK-PB-LHR,Lahore,Punjab,0.09,13.88,40.9,1.42
2015-01-04,PK-PB-LHR,Lahore,Punjab,0.03,12.55,36.61,1.78
2015-01-05,PK-PB-LHR,Lahore,Punjab,0.0,11.44,40.09,3.27
2015-01-06,PK-PB-LHR,Lahore,Punjab,0.0,12.62,41.31,3.28
2015-01-07,PK-PB-LHR,Lahore,Punjab,0.0,12.65,43.35,2.56
2015-01-08,PK-PB-LHR,Lahore,Punjab,0.0,12.85,36.17,1.9
2015-01-09,PK-PB-LHR,Lahore,Punjab,0.0,12.9,30.07,1.42
2015-01-10,PK-PB-LHR,Lahore,Punjab,0.0,11.09,29.66,3.01
2015-01-11,PK-PB-LHR,Lahore,Punjab,0.0,12.46,26.43,3.1
2015-01-12,PK-PB-LHR,Lahore,Punjab,0.0,14.63,26.75,1.7
2015-01-13,PK-PB-LHR,Lahore,Punjab,3.48,12.2,45.59,2.35
2015-01-14,PK-PB-LHR,Lahore,Punjab,6.21,12.46,74.79,2.37
2015-01-15,PK-PB-LHR,Lahore,Punjab,0.0,12.35,72.43,1.91
2015-01-16,PK-PB-LHR,Lahore,Punjab,0.0,12.23,54.05,2.88
2015-01-17,PK-PB-LHR,Lahore,Punjab,0.0,12.38,44.67,3.04
2015-01-18,PK-PB-LHR,Lahore,Punjab,0.0,12.49,39.93,2.83
2015-01-19,PK-PB-LHR,Lahore,Punjab,0.0,14.03,35.41,1.61
2015-01-20,PK-PB-LHR,Lahore,Punjab,0.0,13.14,41.32,1.45
2015-01-21,PK-PB-LHR,Lahore,Punjab,11.07,10.09,67.16,3.17
2015-01-22,PK-PB-LHR,Lahore,Punjab,0.49,11.33,83.75,1.98
2015-01-23,PK-PB-LHR,Lahore,Punjab,0.08,11.76,74.96,1.53
2015-01-24,PK-PB-LHR,Lahore,Punjab,0.0,12.04,60.56,2.33
2015-01-25,PK-PB-LHR,Lahore,Punjab,0.0,11.85,52.84,2.34
2015-01-26,PK-PB-LHR,Lahore,Punjab,0.0,11.46,50.03,1.6
2015-01-27,PK-PB-LHR,Lahore,Punjab,0.0,9.95,53.91,2.36
2015-01-28,PK-PB-LHR,Lahore,Punjab,0.0,10.29,48.48,3.07
2015-01-29,PK-PB-LHR,Lahore,Punjab,0.0,11.68,42.77,2.39
2015-01-30,PK-PB-LHR,Lahore,Punjab,0.0,11.28,42.11,3.48
2015-01-31,PK-PB-LHR,Lahore,Punjab,0.0,13.15,39.12,2.53
2015-02-01,PK-PB-LHR,Lahore,Punjab,0.0,13.79,41.9,2.51
2015-02-02,PK-PB-LHR,Lahore,Punjab,1.86,14.19,61.67,2.65
2015-02-03,PK-PB-LHR,Lahore,Punjab,16.75,13.71,82.79,2.15
2015-02-04,PK-PB-LHR,Lahore,Punjab,0.01,13.2,65.86,3.24
2015-02-05,PK-PB-LHR,Lahore,Punjab,0.0,13.25,50.57,2.56
2015-02-06,PK-PB-LHR,Lahore,Punjab,0.0,14.31,41.55,1.26
2015-02-07,PK-PB-LHR,Lahore,Punjab,0.0,14.22,45.66,2.09
2015-02-08,PK-PB-LHR,Lahore,Punjab,0.0,14.95,60.06,3.35
2015-02-09,PK-PB-LHR,Lahore,Punjab,0.0,14.63,50.29,2.84
2015-02-10,PK-PB-LHR,Lahore,Punjab,0.0,15.19,41.01,2.41
2015-02-11,PK-PB-LHR,Lahore,Punjab,0.0,16.18,38.59,2.69
2015-02-12,PK-PB-LHR,Lahore,Punjab,0.0,15.17,35.9,2.81
2015-02-13,PK-PB-LHR,Lahore,Punjab,0.0,17.27,38.0,2.13
2015-02-14,PK-PB-LHR,Lahore,Punjab,0.0,19.58,40.79,2.44
2015-02-15,PK-PB-LHR,Lahore,Punjab,0.0,18.29,43.79,1.68
2015-02-16,PK-PB-LHR,Lahore,Punjab,1.26,18.32,49.61,3.99
2015-02-17,PK-PB-LHR,Lahore,Punjab,7.24,17.78,56.01,1.78
2015-02-18,PK-PB-LHR,Lahore,Punjab,0.11,18.43,49.35,1.87
2015-02-19,PK-PB-LHR,Lahore,Punjab,5.78,17.98,63.69,2.68
2015-02-20,PK-PB-LHR,Lahore,Punjab,7.25,15.56,83.58,3.22
2015-02-21,PK-PB-LHR,Lahore,Punjab,0.0,18.54,60.98,3.25
2015-02-22,PK-PB-LHR,Lahore,Punjab,0.0,19.45,57.51,3.66
2015-02-23,PK-PB-LHR,Lahore,Punjab,0.0,19.71,55.58,1.69
2015-02-24,PK-PB-LHR,Lahore,Punjab,4.49,19.14,61.91,2.77
2015-02-25,PK-PB-LHR,Lahore,Punjab,3.74,17.04,55.5,4.74
2015-02-26,PK-PB-LHR,Lahore,Punjab,0.01,14.06,41.69,2.17
2015-02-27,PK-PB-LHR,Lahore,Punjab,0.0,14.23,47.42,2.21
2015-02-28,PK-PB-LHR,Lahore,Punjab,0.01,15.16,43.18,2.04
2015-03-01,PK-PB-LHR,Lahore,Punjab,32.59,14.16,81.03,3.28
2015-03-02,PK-PB-LHR,Lahore,Punjab,13.84,15.37,78.8,3.4
2015-03-03,PK-PB-LHR,Lahore,Punjab,0.55,14.75,68.1,1.63
2015-03-04,PK-PB-LHR,Lahore,Punjab,0.74,15.72,57.95,1.98
2015-03-05,PK-PB-LHR,Lahore,Punjab,4.11,14.52,73.92,2.6
2015-03-06,PK-PB-LHR,Lahore,Punjab,0.0,15.78,63.58,2.39
2015-03-07,PK-PB-LHR,Lahore,Punjab,3.61,13.86,72.73,2.13
2015-03-08,PK-PB-LHR,Lahore,Punjab,1.4,14.42,76.48,3.34
2015-03-09,PK-PB-LHR,Lahore,Punjab,0.07,13.48,66.85,2.08
2015-03-10,PK-PB-LHR,Lahore,Punjab,0.0,15.3,52.76,3.06
2015-03-11,PK-PB-LHR,Lahore,Punjab,0.0,16.69,48.8,1.97
2015-03-12,PK-PB-LHR,Lahore,Punjab,0.0,18.39,41.17,2.1
2015-03-13,PK-PB-LHR,Lahore,Punjab,0.0,19.45,37.37,1.79
2015-03-14,PK-PB-LHR,Lahore,Punjab,0.12,19.84,55.39,2.06
2015-03-15,PK-PB-LHR,Lahore,Punjab,21.76,18.04,79.81,4.32
2015-03-16,PK-PB-LHR,Lahore,Punjab,2.68,17.17,75.86,2.81
2015-03-17,PK-PB-LHR,Lahore,Punjab,0.0,17.01,72.63,2.95
2015-03-18,PK-PB-LHR,Lahore,Punjab,0.0,18.17,62.81,3.26
2015-03-19,PK-PB-LHR,Lahore,Punjab,0.0,20.32,49.63,2.24
2015-03-20,PK-PB-LHR,Lahore,Punjab,0.0,21.39,51.6,2.64
2015-03-21,PK-PB-LHR,Lahore,Punjab,0.0,23.04,54.46,2.43
2015-03-22,PK-PB-LHR,Lahore,Punjab,0.0,23.26,56.59,3.51
2015-03-23,PK-PB-LHR,Lahore,Punjab,0.0,24.55,53.19,3.25
2015-03-24,PK-PB-LHR,Lahore,Punjab,0.08,26.6,42.67,1.97
2015-03-25,PK-PB-LHR,Lahore,Punjab,0.11,25.18,56.2,2.93
2015-03-26,PK-PB-LHR,Lahore,Punjab,0.0,24.69,48.82,2.25
2015-03-27,PK-PB-LHR,Lahore,Punjab,0.0,24.94,38.76,2.71
2015-03-28,PK-PB-LHR,Lahore,Punjab,0.3,26.72,41.15,1.73
2015-03-29,PK-PB-LHR,Lahore,Punjab,8.92,20.78,74.43,4.37
2015-03-30,PK-PB-LHR,Lahore,Punjab,23.17,21.54,72.87,2.36
2015-03-31,PK-PB-LHR,Lahore,Punjab,1.93,22.22,71.89,1.81
2015-04-01,PK-PB-LHR,Lahore,Punjab,1.3,22.06,71.06,2.27
