date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-PB-MUL,Multan,Punjab,0.0,11.91,28.23,3.25
2015-01-02,PK-PB-MUL,Multan,Punjab,0.0,13.47,27.06,2.32
2015-01-03,PK-PB-MUL,Multan,Punjab,0.0,14.62,28.44,1.42
2015-01-04,PK-PB-MUL,Multan,Punjab,0.0,12.82,43.25,1.88
2015-01-05,PK-PB-MUL,Multan,Punjab,0.0,13.86,40.26,0.84
2015-01-06,PK-PB-MUL,Multan,Punjab,0.0,14.98,42.84,1.24
2015-01-07,PK-PB-MUL,Multan,Punjab,0.0,14.69,34.95,2.08
2015-01-08,PK-PB-MUL,Multan,Punjab,0.0,14.86,25.44,1.34
2015-01-09,PK-PB-MUL,Multan,Punjab,0.0,14.23,23.45,1.23
2015-01-10,PK-PB-MUL,Multan,Punjab,0.0,14.17,23.58,1.66
2015-01-11,PK-PB-MUL,Multan,Punjab,0.0,15.47,31.55,1.65
2015-01-12,PK-PB-MUL,Multan,Punjab,0.0,15.66,32.65,1.67
2015-01-13,PK-PB-MUL,Multan,Punjab,0.43,13.14,48.06,3.27
2015-01-14,PK-PB-MUL,Multan,Punjab,0.0,12.9,55.28,2.59
2015-01-15,PK-PB-MUL,Multan,Punjab,0.0,13.07,54.04,2.19
2015-01-16,PK-PB-MUL,Multan,Punjab,0.0,13.51,38.94,1.76
2015-01-17,PK-PB-MUL,Multan,Punjab,0.0,14.94,27.15,1.67
2015-01-18,PK-PB-MUL,Multan,Punjab,0.0,14.77,27.57,1.38
2015-01-19,PK-PB-MUL,Multan,Punjab,0.0,14.81,29.98,1.41
2015-01-20,PK-PB-MUL,Multan,Punjab,0.0,13.17,35.61,2.59
2015-01-21,PK-PB-MUL,Multan,Punjab,3.92,10.33,64.85,4.56
2015-01-22,PK-PB-MUL,Multan,Punjab,0.47,10.19,73.39,3.86
2015-01-23,PK-PB-MUL,Multan,Punjab,0.0,10.76,64.81,2.59
2015-01-24,PK-PB-MUL,Multan,Punjab,0.0,12.34,54.93,1.77
2015-01-25,PK-PB-MUL,Multan,Punjab,0.0,13.13,46.51,1.61
2015-01-26,PK-PB-MUL,Multan,Punjab,0.0,12.65,42.58,1.61
2015-01-27,PK-PB-MUL,Multan,Punjab,0.0,11.27,36.54,1.7
2015-01-28,PK-PB-MUL,Multan,Punjab,0.0,11.31,31.0,1.94
2015-01-29,PK-PB-MUL,Multan,Punjab,0.0,11.79,31.17,2.41
2015-01-30,PK-PB-MUL,Multan,Punjab,0.0,13.82,26.68,1.24
2015-01-31,PK-PB-MUL,Multan,Punjab,0.0,14.91,26.13,1.83
2015-02-01,PK-PB-MUL,Multan,Punjab,0.0,13.99,32.36,2.64
2015-02-02,PK-PB-MUL,Multan,Punjab,0.56,13.18,52.47,5.12
2015-02-03,PK-PB-MUL,Multan,Punjab,5.33,13.46,64.72,3.51
2015-02-04,PK-PB-MUL,Multan,Punjab,0.0,13.91,62.51,1.97
2015-02-05,PK-PB-MUL,Multan,Punjab,0.0,14.81,51.23,1.98
2015-02-06,PK-PB-MUL,Multan,Punjab,0.09,16.08,48.93,1.89
2015-02-07,PK-PB-MUL,Multan,Punjab,2.09,13.66,62.1,1.54
2015-02-08,PK-PB-MUL,Multan,Punjab,0.06,13.54,68.2,3.03
2015-02-09,PK-PB-MUL,Multan,Punjab,0.0,15.21,44.68,2.96
2015-02-10,PK-PB-MUL,Multan,Punjab,0.0,15.19,37.95,2.15
