date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-PB-RWP,Rawalpindi,Punjab,0.0,12.42,30.09,2.74
2015-01-02,PK-PB-RWP,Rawalpindi,Punjab,0.0,13.27,26.21,2.2
2015-01-03,PK-PB-RWP,Rawalpindi,Punjab,0.0,11.74,31.48,2.31
2015-01-04,PK-PB-RWP,Rawalpindi,Punjab,0.0,11.68,30.7,2.24
2015-01-05,PK-PB-RWP,Rawalpindi,Punjab,0.0,11.67,33.97,2.24
2015-01-06,PK-PB-RWP,Rawalpindi,Punjab,0.0,13.58,32.0,2.82
2015-01-07,PK-PB-RWP,Rawalpindi,Punjab,0.0,13.48,27.71,2.83
2015-01-08,PK-PB-RWP,Rawalpindi,Punjab,0.0,13.41,14.4,2.53
2015-01-09,PK-PB-RWP,Rawalpindi,Punjab,0.0,12.91,13.87,1.79
2015-01-10,PK-PB-RWP,Rawalpindi,Punjab,0.0,11.99,15.86,2.9
2015-01-11,PK-PB-RWP,Rawalpindi,Punjab,0.0,15.18,15.29,2.76
2015-01-12,PK-PB-RWP,Rawalpindi,Punjab,0.0,15.82,21.43,1.72
2015-01-13,PK-PB-RWP,Rawalpindi,Punjab,13.37,11.13,56.12,2.67
2015-01-14,PK-PB-RWP,Rawalpindi,Punjab,1.01,11.71,65.55,1.72
2015-01-15,PK-PB-RWP,Rawalpindi,Punjab,0.0,10.61,62.49,2.98
2015-01-16,PK-PB-RWP,Rawalpindi,Punjab,0.0,11.62,43.38,2.73
2015-01-17,PK-PB-RWP,Rawalpindi,Punjab,0.0,11.99,33.04,2.69
2015-01-18,PK-PB-RWP,Rawalpindi,Punjab,0.0,11.71,31.43,2.3
2015-01-19,PK-PB-RWP,Rawalpindi,Punjab,0.0,12.37,33.85,2.22
2015-01-20,PK-PB-RWP,Rawalpindi,Punjab,0.0,12.39,40.86,1.67
2015-01-21,PK-PB-RWP,Rawalpindi,Punjab,7.55,8.28,69.06,3.65
