date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-SD-JCB,Jacobabad,Sindh,0.0,14.18,16.91,1.87
2015-01-02,PK-SD-JCB,Jacobabad,Sindh,0.0,14.89,19.07,1.96
2015-01-03,PK-SD-JCB,Jacobabad,Sindh,0.0,16.5,22.75,1.82
2015-01-04,PK-SD-JCB,Jacobabad,Sindh,0.0,15.82,30.18,2.85
2015-01-05,PK-SD-JCB,Jacobabad,Sindh,0.0,16.26,41.33,2.6
2015-01-06,PK-SD-JCB,Jacobabad,Sindh,0.0,16.9,37.83,1.83
2015-01-07,PK-SD-JCB,Jacobabad,Sindh,0.0,16.94,20.99,2.46
2015-01-08,PK-SD-JCB,Jacobabad,Sindh,0.0,16.59,27.32,2.26
2015-01-09,PK-SD-JCB,Jacobabad,Sindh,0.0,15.95,29.28,2.97
2015-01-10,PK-SD-JCB,Jacobabad,Sindh,0.0,16.29,30.61,1.81
2015-01-11,PK-SD-JCB,Jacobabad,Sindh,0.0,17.24,33.69,1.89
2015-01-12,PK-SD-JCB,Jacobabad,Sindh,0.0,18.6,32.92,1.99
2015-01-13,PK-SD-JCB,Jacobabad,Sindh,0.0,18.66,27.27,3.83
2015-01-14,PK-SD-JCB,Jacobabad,Sindh,0.0,14.95,29.26,2.81
2015-01-15,PK-SD-JCB,Jacobabad,Sindh,0.0,15.27,36.52,1.35
2015-01-16,PK-SD-JCB,Jacobabad,Sindh,0.0,14.87,30.33,1.35
2015-01-17,PK-SD-JCB,Jacobabad,Sindh,0.0,15.01,26.68,1.31
2015-01-18,PK-SD-JCB,Jacobabad,Sindh,0.0,15.56,23.84,1.87
2015-01-19,PK-SD-JCB,Jacobabad,Sindh,0.0,16.32,22.79,1.75
2015-01-20,PK-SD-JCB,Jacobabad,Sindh,0.08,16.2,25.34,2.54
2015-01-21,PK-SD-JCB,Jacobabad,Sindh,0.16,16.1,34.37,2.51
2015-01-22,PK-SD-JCB,Jacobabad,Sindh,0.0,14.3,44.09,1.55
2015-01-23,PK-SD-JCB,Jacobabad,Sindh,0.0,13.83,41.29,1.44
2015-01-24,PK-SD-JCB,Jacobabad,Sindh,0.0,13.62,46.64,1.5
2015-01-25,PK-SD-JCB,Jacobabad,Sindh,0.0,14.72,35.65,1.74
2015-01-26,PK-SD-JCB,Jacobabad,Sindh,0.0,12.84,18.28,3.1
2015-01-27,PK-SD-JCB,Jacobabad,Sindh,0.0,12.01,15.35,2.69
2015-01-28,PK-SD-JCB,Jacobabad,Sindh,0.0,12.96,14.67,2.3
2015-01-29,PK-SD-JCB,Jacobabad,Sindh,0.0,14.58,20.34,1.6
2015-01-30,PK-SD-JCB,Jacobabad,Sindh,0.0,15.23,20.35,2.8
2015-01-31,PK-SD-JCB,Jacobabad,Sindh,0.0,16.52,18.88,2.58
2015-02-01,PK-SD-JCB,Jacobabad,Sindh,0.0,17.52,18.74,2.68
2015-02-02,PK-SD-JCB,Jacobabad,Sindh,0.15,16.3,27.27,1.68
2015-02-03,PK-SD-JCB,Jacobabad,Sindh,0.0,16.23,41.33,2.74
2015-02-04,PK-SD-JCB,Jacobabad,Sindh,0.0,16.5,39.58,2.73
2015-02-05,PK-SD-JCB,Jacobabad,Sindh,0.0,17.42,41.46,1.94
2015-02-06,PK-SD-JCB,Jacobabad,Sindh,0.44,17.68,45.77,3.25
2015-02-07,PK-SD-JCB,Jacobabad,Sindh,0.03,18.77,48.19,1.53
2015-02-08,PK-SD-JCB,Jacobabad,Sindh,0.0,17.01,43.11,1.81
2015-02-09,PK-SD-JCB,Jacobabad,Sindh,0.0,17.63,38.91,1.75
2015-02-10,PK-SD-JCB,Jacobabad,Sindh,0.0,19.27,33.5,1.23
2015-02-11,PK-SD-JCB,Jacobabad,Sindh,0.0,20.38,30.72,1.27
2015-02-12,PK-SD-JCB,Jacobabad,Sindh,0.0,21.88,26.91,1.93
2015-02-13,PK-SD-JCB,Jacobabad,Sindh,0.0,23.3,24.48,1.49
2015-02-14,PK-SD-JCB,Jacobabad,Sindh,0.0,25.17,21.85,1.86
2015-02-15,PK-SD-JCB,Jacobabad,Sindh,0.0,24.55,25.08,2.88
2015-02-16,PK-SD-JCB,Jacobabad,Sindh,0.0,24.47,28.19,2.85
2015-02-17,PK-SD-JCB,Jacobabad,Sindh,0.0,23.13,34.77,2.87
2015-02-18,PK-SD-JCB,Jacobabad,Sindh,0.0,23.11,32.42,2.4
2015-02-19,PK-SD-JCB,Jacobabad,Sindh,0.0,23.7,26.76,2.64
2015-02-20,PK-SD-JCB,Jacobabad,Sindh,0.06,23.87,32.07,3.68
2015-02-21,PK-SD-JCB,Jacobabad,Sindh,0.0,22.85,43.2,2.77
2015-02-22,PK-SD-JCB,Jacobabad,Sindh,0.0,22.55,43.36,2.37
2015-02-23,PK-SD-JCB,Jacobabad,Sindh,0.0,23.24,37.26,3.35
2015-02-24,PK-SD-JCB,Jacobabad,Sindh,0.0,21.75,22.83,5.2
2015-02-25,PK-SD-JCB,Jacobabad,Sindh,0.0,15.94,19.45,5.27
2015-02-26,PK-SD-JCB,Jacobabad,Sindh,0.0,15.67,16.38,2.74
2015-02-27,PK-SD-JCB,Jacobabad,Sindh,0.0,17.02,17.58,2.18
