date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-SD-LRK,Larkana,Sindh,0.0,12.16,22.79,3.73
2015-01-02,PK-SD-LRK,Larkana,Sindh,0.0,15.12,22.55,2.63
2015-01-03,PK-SD-LRK,Larkana,Sindh,0.0,17.26,23.46,1.56
2015-01-04,PK-SD-LRK,Larkana,Sindh,0.0,17.14,31.68,2.01
2015-01-05,PK-SD-LRK,Larkana,Sindh,0.0,17.09,40.11,2.32
2015-01-06,PK-SD-LRK,Larkana,Sindh,0.0,18.28,34.35,1.49
2015-01-07,PK-SD-LRK,Larkana,Sindh,0.0,18.43,21.93,2.29
2015-01-08,PK-SD-LRK,Larkana,Sindh,0.0,17.42,27.31,1.94
2015-01-09,PK-SD-LRK,Larkana,Sindh,0.0,16.31,31.6,2.53
2015-01-10,PK-SD-LRK,Larkana,Sindh,0.0,16.03,31.63,2.19
2015-01-11,PK-SD-LRK,Larkana,Sindh,0.0,17.69,33.07,1.93
2015-01-12,PK-SD-LRK,Larkana,Sindh,0.0,18.65,32.42,2.35
2015-01-13,PK-SD-LRK,Larkana,Sindh,0.0,18.03,32.1,3.14
2015-01-14,PK-SD-LRK,Larkana,Sindh,0.0,14.72,29.81,3.8
2015-01-15,PK-SD-LRK,Larkana,Sindh,0.0,14.87,42.65,2.06
2015-01-16,PK-SD-LRK,Larkana,Sindh,0.0,15.55,35.74,1.21
2015-01-17,PK-SD-LRK,Larkana,Sindh,0.0,15.92,30.07,1.13
2015-01-18,PK-SD-LRK,Larkana,Sindh,0.0,16.26,26.14,1.69
2015-01-19,PK-SD-LRK,Larkana,Sindh,0.0,16.66,24.87,1.98
2015-01-20,PK-SD-LRK,Larkana,Sindh,0.02,16.24,26.28,2.88
2015-01-21,PK-SD-LRK,Larkana,Sindh,0.03,16.79,34.81,2.25
2015-01-22,PK-SD-LRK,Larkana,Sindh,0.0,14.36,52.42,2.79
2015-01-23,PK-SD-LRK,Larkana,Sindh,0.0,14.15,47.41,1.88
2015-01-24,PK-SD-LRK,Larkana,Sindh,0.0,13.86,47.36,1.81
2015-01-25,PK-SD-LRK,Larkana,Sindh,0.0,15.62,40.09,1.43
2015-01-26,PK-SD-LRK,Larkana,Sindh,0.0,13.94,22.87,3.32
2015-01-27,PK-SD-LRK,Larkana,Sindh,0.0,12.65,14.67,3.35
2015-01-28,PK-SD-LRK,Larkana,Sindh,0.0,12.73,17.31,2.27
2015-01-29,PK-SD-LRK,Larkana,Sindh,0.0,15.15,18.48,1.79
2015-01-30,PK-SD-LRK,Larkana,Sindh,0.0,15.4,20.92,2.33
2015-01-31,PK-SD-LRK,Larkana,Sindh,0.0,17.51,18.05,2.01
2015-02-01,PK-SD-LRK,Larkana,Sindh,0.0,17.77,19.01,2.79
2015-02-02,PK-SD-LRK,Larkana,Sindh,0.4,16.66,28.04,2.88
2015-02-03,PK-SD-LRK,Larkana,Sindh,0.0,16.99,41.32,2.54
2015-02-04,PK-SD-LRK,Larkana,Sindh,0.0,17.43,43.13,2.65
2015-02-05,PK-SD-LRK,Larkana,Sindh,0.0,17.86,42.08,2.22
2015-02-06,PK-SD-LRK,Larkana,Sindh,0.08,20.09,37.59,2.22
2015-02-07,PK-SD-LRK,Larkana,Sindh,0.03,19.15,42.74,2.8
2015-02-08,PK-SD-LRK,Larkana,Sindh,0.0,17.14,43.09,2.81
2015-02-09,PK-SD-LRK,Larkana,Sindh,0.0,17.52,42.2,2.81
2015-02-10,PK-SD-LRK,Larkana,Sindh,0.0,18.8,35.07,1.8
2015-02-11,PK-SD-LRK,Larkana,Sindh,0.0,20.88,30.23,1.21
2015-02-12,PK-SD-LRK,Larkana,Sindh,0.0,22.17,26.92,1.7
2015-02-13,PK-SD-LRK,Larkana,Sindh,0.0,23.65,24.99,1.76
2015-02-14,PK-SD-LRK,Larkana,Sindh,0.0,24.87,28.31,2.45
2015-02-15,PK-SD-LRK,Larkana,Sindh,0.0,25.65,26.39,2.48
2015-02-16,PK-SD-LRK,Larkana,Sindh,0.0,25.38,27.05,3.26
2015-02-17,PK-SD-LRK,Larkana,Sindh,0.0,23.49,34.61,2.44
2015-02-18,PK-SD-LRK,Larkana,Sindh,0.0,23.84,32.3,2.06
