date,district_id,district_name,province,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms
2015-01-01,PK-SD-SKR,Sukkur,Sindh,0.0,11.82,26.33,3.91
2015-01-02,PK-SD-SKR,Sukkur,Sindh,0.0,15.42,27.48,2.56
2015-01-03,PK-SD-SKR,Sukkur,Sindh,0.0,18.28,28.23,0.91
2015-01-04,PK-SD-SKR,Sukkur,Sindh,0.0,17.39,41.62,2.0
2015-01-05,PK-SD-SKR,Sukkur,Sindh,0.0,17.57,40.6,2.32
2015-01-06,PK-SD-SKR,Sukkur,Sindh,0.0,19.06,33.93,1.61
2015-01-07,PK-SD-SKR,Sukkur,Sindh,0.0,18.72,26.95,1.71
2015-01-08,PK-SD-SKR,Sukkur,Sindh,0.0,17.87,29.23,1.82
2015-01-09,PK-SD-SKR,Sukkur,Sindh,0.0,16.45,28.51,2.59
2015-01-10,PK-SD-SKR,Sukkur,Sindh,0.0,15.85,30.28,2.24
2015-01-11,PK-SD-SKR,Sukkur,Sindh,0.0,17.71,30.0,1.77
2015-01-12,PK-SD-SKR,Sukkur,Sindh,0.0,18.78,29.94,2.25
2015-01-13,PK-SD-SKR,Sukkur,Sindh,0.0,17.32,31.94,3.02
2015-01-14,PK-SD-SKR,Sukkur,Sindh,0.0,14.22,34.32,3.7
2015-01-15,PK-SD-SKR,Sukkur,Sindh,0.0,14.26,47.89,2.51
2015-01-16,PK-SD-SKR,Sukkur,Sindh,0.0,15.55,39.88,1.11
2015-01-17,PK-SD-SKR,Sukkur,Sindh,0.0,15.96,32.24,0.94
2015-01-18,PK-SD-SKR,Sukkur,Sindh,0.0,16.41,27.96,1.26
2015-01-19,PK-SD-SKR,Sukkur,Sindh,0.0,16.29,26.93,2.31
2015-01-20,PK-SD-SKR,Sukkur,Sindh,0.09,15.61,28.13,2.69
2015-01-21,PK-SD-SKR,Sukkur,Sindh,0.07,16.62,31.78,2.02
2015-01-22,PK-SD-SKR,Sukkur,Sindh,0.0,13.7,57.97,3.06
2015-01-23,PK-SD-SKR,Sukkur,Sindh,0.0,13.81,48.97,2.05
2015-01-24,PK-SD-SKR,Sukkur,Sindh,0.0,13.86,46.79,1.63
2015-01-25,PK-SD-SKR,Sukkur,Sindh,0.0,15.74,39.55,1.51
2015-01-26,PK-SD-SKR,Sukkur,Sindh,0.0,14.03,23.22,3.05
2015-01-27,PK-SD-SKR,Sukkur,Sindh,0.0,12.69,14.57,3.22
2015-01-28,PK-SD-SKR,Sukkur,Sindh,0.0,12.95,22.66,2.15
2015-01-29,PK-SD-SKR,Sukkur,Sindh,0.0,15.5,18.01,1.83
2015-01-30,PK-SD-SKR,Sukkur,Sindh,0.0,15.25,22.17,2.55
